id_source,name,address,country,cuisine,currency,delivery_cost,lat,lon,opening_hours,image_url,radius,rating,reviews_nr,delivery_options,promo,loc_type,delivery_by,delivery_time,is_mainstream_chain,mon_open,mon_close,tue_open,tue_close,wed_open,wed_close,thu_open,thu_close,fri_open,fri_close,sat_open,sat_close,sun_close,sun_open
4-C2L2AKNYEENBVX,Heytea,HEYTEA Vivo City [Islandwide Delivery],Singapore,"[""Beverages"", ""Bubble Tea"", ""Coffee & Tea"", ""Dessert""]",SGD,730.0,1.2638843019529418,103.82220139872652,"{""open"": true, ""displayedHours"": ""11:00-22:00"", ""sun"": ""11:00-22:00"", ""mon"": ""12:00-21:20"", ""tue"": ""12:00-21:20"", ""wed"": ""12:00-21:30"", ""thu"": ""12:00-21:20"", ""fri"": ""11:00-21:50"", ""sat"": ""11:00-22:00""}",https://d1sag4ddilekf6.cloudfront.net/compressed/merchants/4-C2L2AKNYEENBVX/hero/42b723d17d2a4fcdb77dbe69cb249bdb_1622077801337550098.jpeg,25000,4.6,103.0,DELIVERY_TAKEAWAY,"Use 'TEATIME' for FREE delivery between 3PM to 5PM, Mon to Sun",FOOD,GRAB,45.0,0,1900-01-01 12:00:00,1900-01-01 21:20:00,1900-01-01 12:00:00,1900-01-01 21:20:00,1900-01-01 12:00:00,1900-01-01 21:30:00,1900-01-01 12:00:00,1900-01-01 21:20:00,1900-01-01 11:00:00,1900-01-01 21:50:00,1900-01-01 11:00:00,1900-01-01 22:00:00,1900-01-01 22:00:00,1900-01-01 11:00:00
4-CZJ1L3BWJLMUA2,Toast Box,Toast Box - VivoCity #03-01D,Singapore,"[""Local"", ""Coffee & Tea"", ""Sandwiches""]",SGD,560.0,1.2647695,103.8219071,"{""open"": true, ""displayedHours"": ""09:00-19:00"", ""sun"": ""09:00-19:00"", ""mon"": ""09:00-19:00"", ""tue"": ""09:00-19:00"", ""wed"": ""09:00-19:00"", ""thu"": ""09:00-19:00"", ""fri"": ""09:00-19:00"", ""sat"": ""09:00-19:00""}",https://d1sag4ddilekf6.cloudfront.net/compressed/merchants/4-CZJ1L3BWJLMUA2/hero/45ff57d80569436ea092d57aca17ad08_1616571633595046167.jpeg,3000,4.2,19.0,DELIVERY_TAKEAWAY,20% OFF Family Bundles,FOOD,GRAB,43.0,1,1900-01-01 09:00:00,1900-01-01 19:00:00,1900-01-01 09:00:00,1900-01-01 19:00:00,1900-01-01 09:00:00,1900-01-01 19:00:00,1900-01-01 09:00:00,1900-01-01 19:00:00,1900-01-01 09:00:00,1900-01-01 19:00:00,1900-01-01 09:00:00,1900-01-01 19:00:00,1900-01-01 19:00:00,1900-01-01 09:00:00
SGDD07935,Dunkin' Donuts,Dunkin' Donuts - Harbourfront Centre,Singapore,"[""Snack"", ""Coffee"", ""Bakery"", ""Beverages"", ""Tea""]",SGD,580.0,1.2643298021199598,103.82011687924592,"{""open"": true, ""displayedHours"": ""10:00-20:30"", ""sun"": ""10:00-20:30"", ""mon"": ""10:00-20:30"", ""tue"": ""10:00-20:30"", ""wed"": ""10:00-20:30"", ""thu"": ""10:00-20:30"", ""fri"": ""10:00-20:30"", ""sat"": ""10:00-20:30""}",https://d1sag4ddilekf6.cloudfront.net/compressed/merchants/SGDD07935/hero/dunkinHERO.png,5000,4.6,207.0,ONLY_DELIVERY,"Use 'TEATIME' for FREE delivery between 3PM to 5PM, Mon to Sun",FOOD,GRAB,41.0,1,1900-01-01 10:00:00,1900-01-01 20:30:00,1900-01-01 10:00:00,1900-01-01 20:30:00,1900-01-01 10:00:00,1900-01-01 20:30:00,1900-01-01 10:00:00,1900-01-01 20:30:00,1900-01-01 10:00:00,1900-01-01 20:30:00,1900-01-01 10:00:00,1900-01-01 20:30:00,1900-01-01 20:30:00,1900-01-01 10:00:00
4-C2DCCYVCRBDECJ,Starbucks,Starbucks - Harbourfront Centre,Singapore,"[""Coffee & Tea""]",SGD,730.0,1.2647893,103.820107,"{""open"": true, ""displayedHours"": ""08:00-20:30"", ""sun"": ""08:00-19:30"", ""mon"": ""08:00-19:30"", ""tue"": ""08:00-19:30"", ""wed"": ""09:00-19:30"", ""thu"": ""08:00-19:30"", ""fri"": ""08:00-20:30"", ""sat"": ""08:00-20:30""}",https://d1sag4ddilekf6.cloudfront.net/compressed/merchants/4-C2DCCYVCRBDECJ/hero/59543e8459a04d56be2e68d33d9fea84_1618365022697097771.jpeg,5000,4.6,130.0,ONLY_DELIVERY,"Use 'TEATIME' for FREE delivery between 3PM to 5PM, Mon to Sun",FOOD,GRAB,41.0,1,1900-01-01 08:00:00,1900-01-01 19:30:00,1900-01-01 08:00:00,1900-01-01 19:30:00,1900-01-01 09:00:00,1900-01-01 19:30:00,1900-01-01 08:00:00,1900-01-01 19:30:00,1900-01-01 08:00:00,1900-01-01 20:30:00,1900-01-01 08:00:00,1900-01-01 20:30:00,1900-01-01 19:30:00,1900-01-01 08:00:00
4-C2TTNJMYDCJUR2,The Pup's Boutique,The Pup's Boutique - Silat Avenue,Singapore,"[""Asian"", ""Bakery & Cake"", ""Coffee & Tea"", ""Pasta"", ""Pet Food""]",SGD,580.0,1.27722,103.83106,"{""open"": true, ""displayedHours"": ""11:00-19:00"", ""sun"": ""11:00-19:00"", ""mon"": ""Closed"", ""tue"": ""Closed"", ""wed"": ""11:00-19:00"", ""thu"": ""11:00-19:00"", ""fri"": ""11:00-19:00"", ""sat"": ""11:00-19:00""}",https://d1sag4ddilekf6.cloudfront.net/compressed/merchants/4-C2TTNJMYDCJUR2/hero/44173c4a5d6945339e9538b37889ebec_1621125135249179328.jpeg,5000,,,DELIVERY_TAKEAWAY,,FOOD,GRAB,32.0,0,,,,,1900-01-01 11:00:00,1900-01-01 19:00:00,1900-01-01 11:00:00,1900-01-01 19:00:00,1900-01-01 11:00:00,1900-01-01 19:00:00,1900-01-01 11:00:00,1900-01-01 19:00:00,1900-01-01 19:00:00,1900-01-01 11:00:00
4-C2T3JBCKGKTJGE,55 Degree Celsius,55 Degree Celsius - Harbourfront Centre,Singapore,"[""Bakery & Cake"", ""Coffee & Tea""]",SGD,570.0,1.26508654314049,103.819863929222,"{""open"": true, ""displayedHours"": ""08:00-20:00"", ""sun"": ""08:00-20:00"", ""mon"": ""08:00-20:00"", ""tue"": ""08:00-20:00"", ""wed"": ""08:00-20:00"", ""thu"": ""08:00-20:00"", ""fri"": ""08:00-20:00"", ""sat"": ""08:00-20:00""}",https://d1sag4ddilekf6.cloudfront.net/compressed/merchants/4-C2T3JBCKGKTJGE/hero/c23209bde51b45588e78843316db695a_1621940449389767367.jpg,5000,,,DELIVERY_TAKEAWAY,,FOOD,GRAB,31.0,0,1900-01-01 08:00:00,1900-01-01 20:00:00,1900-01-01 08:00:00,1900-01-01 20:00:00,1900-01-01 08:00:00,1900-01-01 20:00:00,1900-01-01 08:00:00,1900-01-01 20:00:00,1900-01-01 08:00:00,1900-01-01 20:00:00,1900-01-01 08:00:00,1900-01-01 20:00:00,1900-01-01 20:00:00,1900-01-01 08:00:00
4-C2MKVBCFNFMCKE,Round Boy Roasters,Round Boy Roasters - Jalan Bukit Merah,Singapore,"[""Beverages"", ""Coffee & Tea"", ""Local"", ""Mart""]",SGD,570.0,1.27766882756842,103.830874898148,"{""open"": true, ""displayedHours"": ""08:30-16:00"", ""sun"": ""08:30-16:00"", ""mon"": ""Closed"", ""tue"": ""08:00-14:00"", ""wed"": ""08:00-14:00"", ""thu"": ""08:00-14:00"", ""fri"": ""08:00-14:00"", ""sat"": ""08:30-16:00""}",https://d1sag4ddilekf6.cloudfront.net/compressed/merchants/4-C2MKVBCFNFMCKE/hero/1070ab6c0a2645229d3eddf344454c85_1616990445746467981.jpg,4000,,,ONLY_DELIVERY,,MART,GRAB,38.0,0,,,1900-01-01 08:00:00,1900-01-01 14:00:00,1900-01-01 08:00:00,1900-01-01 14:00:00,1900-01-01 08:00:00,1900-01-01 14:00:00,1900-01-01 08:00:00,1900-01-01 14:00:00,1900-01-01 08:30:00,1900-01-01 16:00:00,1900-01-01 16:00:00,1900-01-01 08:30:00
4-C2TVEZMALRLVNJ,@3,@3 - Kampong Bahru Road,Singapore,"[""Beverages"", ""Breakfast & Brunch"", ""Coffee & Tea"", ""Sandwiches"", ""Same Prices In-Store""]",SGD,600.0,1.2765941093862,103.835871834728,"{""open"": true, ""displayedHours"": ""08:00-20:00"", ""sun"": ""08:00-20:00"", ""mon"": ""08:00-14:00"", ""tue"": ""Closed"", ""wed"": ""08:00-20:00"", ""thu"": ""08:00-20:00"", ""fri"": ""08:00-20:00"", ""sat"": ""08:00-20:00""}",https://d1sag4ddilekf6.cloudfront.net/compressed/merchants/4-C2TVEZMALRLVNJ/hero/7a01bd68304f4452bc44e2db0222116e_1621263928388570305.png,5000,5.0,,DELIVERY_TAKEAWAY,S$3.00 off delivery fee with S$30.00 min. order,FOOD,GRAB,39.0,0,1900-01-01 08:00:00,1900-01-01 14:00:00,,,1900-01-01 08:00:00,1900-01-01 20:00:00,1900-01-01 08:00:00,1900-01-01 20:00:00,1900-01-01 08:00:00,1900-01-01 20:00:00,1900-01-01 08:00:00,1900-01-01 20:00:00,1900-01-01 20:00:00,1900-01-01 08:00:00
4-C2T3GKJFRPABJ2,Three Point Two Gelato & Coffee House,Three Point Two Gelato & Coffee House - Kampong Bahru Road,Singapore,"[""Bakery & Cake"", ""Coffee & Tea"", ""Dessert"", ""Durian"", ""Ice Cream""]",SGD,650.0,1.2761714,103.8355593,"{""open"": true, ""displayedHours"": ""12:00-22:00"", ""sun"": ""12:00-22:00"", ""mon"": ""12:00-22:00"", ""tue"": ""12:00-22:00"", ""wed"": ""12:00-22:00"", ""thu"": ""12:00-22:00"", ""fri"": ""12:00-22:00"", ""sat"": ""12:00-22:00""}",https://d1sag4ddilekf6.cloudfront.net/compressed/merchants/4-C2T3GKJFRPABJ2/hero/551b004306134d9ab643941733a6efce_1621932505808206375.jpg,5000,,,DELIVERY_TAKEAWAY,,FOOD,GRAB,38.0,0,1900-01-01 12:00:00,1900-01-01 22:00:00,1900-01-01 12:00:00,1900-01-01 22:00:00,1900-01-01 12:00:00,1900-01-01 22:00:00,1900-01-01 12:00:00,1900-01-01 22:00:00,1900-01-01 12:00:00,1900-01-01 22:00:00,1900-01-01 12:00:00,1900-01-01 22:00:00,1900-01-01 22:00:00,1900-01-01 12:00:00
4-CYU2BGE1R3JCWE,The Lokal,The Lokal - Neil Road [Islandwide Delivery],Singapore,"[""Breakfast & Brunch"", ""Vegetarian"", ""Islandwide Delivery"", ""Cold Brew"", ""Roasted Coffee Beans""]",SGD,680.0,1.2783282,103.8409855,"{""open"": true, ""displayedHours"": ""09:00-18:45"", ""sun"": ""09:00-18:45"", ""mon"": ""09:00-18:45"", ""tue"": ""09:00-18:45"", ""wed"": ""09:00-18:45"", ""thu"": ""09:00-18:45"", ""fri"": ""09:00-18:45"", ""sat"": ""09:00-18:45""}",https://d1sag4ddilekf6.cloudfront.net/compressed/merchants/4-CYU2BGE1R3JCWE/hero/4cf8e438185a4654a9b47abfb9a8add7_1588848520272519740.jpeg,25000,4.3,136.0,DELIVERY_TAKEAWAY,15% off Coffee By Paradise Coffee Roasters & Others,FOOD,GRAB,49.0,0,1900-01-01 09:00:00,1900-01-01 18:45:00,1900-01-01 09:00:00,1900-01-01 18:45:00,1900-01-01 09:00:00,1900-01-01 18:45:00,1900-01-01 09:00:00,1900-01-01 18:45:00,1900-01-01 09:00:00,1900-01-01 18:45:00,1900-01-01 09:00:00,1900-01-01 18:45:00,1900-01-01 18:45:00,1900-01-01 09:00:00
