Name,Malay,Chinese,Pinyin,Tamil,Region,Area,Population,Density,lat,lon
Ang Mo Kio,,宏茂桥,Hóngmàoqiáo,ஆங் மோ கியோ,North-East,13.94,161000,13400,1.3700803,103.8495228
Bedok,*,勿洛,Wùluò,பிடோக்,East,21.69,278270,13000,1.3239765,103.930216
Bishan,,碧山,Bìshān,பீஷான்,Central,7.62,85680,12000,1.3509859,103.84825507492937
Boon Lay,,文礼,Wénlǐ,பூன் லே,West,8.23,30,3.6,1.3385504,103.7058124
Bukit Batok,*,武吉巴督,Wǔjí Bādū,புக்கிட் பாத்தோக்,West,11.13,164560,14000,1.3490572,103.7495906
Bukit Merah,*,红山,Hóngshān,புக்கிட் மேரா,Central,14.34,149160,11000,1.2837356,103.8200999
Bukit Panjang,*,武吉班让,Wǔjí Bānràng,புக்கிட் பாஞ்சாங்,West,8.99,137020,15000,1.3791486,103.76141301431002
Bukit Timah,*,武吉知马,Wǔjí Zhīmǎ,புக்கிட் திமா,Central,17.53,79270,4400,1.3546901,103.7763724
Central Water Catchment,Kawasan Tadahan Air Tengah,中央集水区,Zhōngyāng Jíshuǐqū,மத்திய நீர் நீர்ப்பிடிப்பு,North,37.15,*,*,1.3700592,103.8034477
Changi,*,樟宜,Zhāngyí,சாங்கி,East,40.61,1810,80.62,1.3539247,103.9746973
Changi Bay,Teluk Changi,樟宜湾,Zhāngyí Wān,சாங்கி பே,East,1.7,*,*,1.3168496,104.0206494
Choa Chu Kang,,蔡厝港,Cài Cuògǎng,சுவா சூ காங்,West,6.11,189990,30000,1.3847493,103.7445341
Clementi,,金文泰,Jīnwéntài,கிளிமெண்டி,West,9.49,93500,9800,1.3151003,103.7652311
Downtown Core,Pusat Bandar,市中心,Shìzhōngxīn,சிங்கப்பூர் நகர மையத்தில்,Central,4.34,4000,680,1.2862423,103.8537756
Geylang,*,芽笼,Yálóng,கேலாங்,Central,9.64,109150,11400,1.3181862,103.8870563
Hougang,,后港,Hòugǎng,ஹவ்காங்,North-East,13.93,226990,16000,1.3708011,103.89254433997465
Jurong East,Jurong Timur,裕廊东,Yùláng Dōng,ஜூரோங் கிழக்கு,West,17.83,76390,4400,1.333108,103.7422939
Jurong West,Jurong Barat,裕廊西,Yùláng Xī,ஜூரோங் மேற்கு,West,14.69,258240,18000,1.3434392,103.7058663
Kallang,*,加冷,Jiālěng,காலாங்,Central,9.17,100520,11000,1.310759,103.866262
