id_source,name,address,country,cuisine,currency,delivery_cost,lat,lon,opening_hours,image_url,radius,rating,reviews_nr,delivery_options,promo,loc_type,delivery_by,delivery_time,is_mainstream_chain,mon_open,mon_close,tue_open,tue_close,wed_open,wed_close,thu_open,thu_close,fri_open,fri_close,sat_open,sat_close,sun_open,sun_close,distance_from_user,status,Direction,search_url,name_w_url
4-C2M1UFVHVUBAT6,Korfe,Korfe - AMK Hub,Singapore,"[""Bakery & Cake"", ""Coffee & Tea"", ""Korean""]",SGD,1540.0,1.369717,103.848744,"{""displayedHours"": ""Closed"", ""sun"": ""09:00-21:00"", ""mon"": ""10:00-21:00"", ""tue"": ""10:00-21:00"", ""wed"": ""10:00-21:00"", ""thu"": ""10:00-21:00"", ""fri"": ""10:00-21:00"", ""sat"": ""09:00-21:00""}",https://d1sag4ddilekf6.cloudfront.net/compressed/merchants/4-C2M1UFVHVUBAT6/hero/76220c72482d4727b2ee3480bd131be5_1617853210548521735.jpeg,5000,5.0,2.0,DELIVERY_TAKEAWAY,,FOOD,GRAB,33.0,0,1900-01-01 10:00:00,1900-01-01 21:00:00,1900-01-01 10:00:00,1900-01-01 21:00:00,1900-01-01 10:00:00,1900-01-01 21:00:00,1900-01-01 10:00:00,1900-01-01 21:00:00,1900-01-01 10:00:00,1900-01-01 21:00:00,1900-01-01 09:00:00,1900-01-01 21:00:00,1900-01-01 09:00:00,1900-01-01 21:00:00,0.09556511466195959,currently open,"<a href=""https://www.google.com/maps/dir/1.3700803,103.8495228/1.369717,103.848744"">Map direction 🗺️📍</a>",https://www.google.com/search?q=Korfe-Korfe---AMK-Hub,"<a href=""https://www.google.com/search?q=Korfe-Korfe---AMK-Hub"">Korfe</a>"
SGDD07923,Dunkin' Donuts,Dunkin' Donuts - AMK Hub,Singapore,"[""Snack"", ""Coffee"", ""Bakery"", ""Beverages"", ""Tea""]",SGD,1500.0,1.369236999998492,103.84851249272072,"{""displayedHours"": ""Closed"", ""sun"": ""10:00-21:30"", ""mon"": ""09:00-21:30"", ""tue"": ""09:00-21:30"", ""wed"": ""09:00-21:30"", ""thu"": ""09:00-21:30"", ""fri"": ""10:00-21:30"", ""sat"": ""10:00-22:00"", ""tempClosed"": true}",https://d1sag4ddilekf6.cloudfront.net/compressed/merchants/SGDD07923/hero/dunkinHERO.png,5000,4.6,612.0,ONLY_DELIVERY,"Use 'TEATIME' for FREE delivery between 3PM to 5PM, Mon to Sun",FOOD,GRAB,32.0,1,1900-01-01 09:00:00,1900-01-01 21:30:00,1900-01-01 09:00:00,1900-01-01 21:30:00,1900-01-01 09:00:00,1900-01-01 21:30:00,1900-01-01 09:00:00,1900-01-01 21:30:00,1900-01-01 10:00:00,1900-01-01 21:30:00,1900-01-01 10:00:00,1900-01-01 22:00:00,1900-01-01 10:00:00,1900-01-01 21:30:00,0.14635464516939323,currently open,"<a href=""https://www.google.com/maps/dir/1.3700803,103.8495228/1.369236999998492,103.84851249272072"">Map direction 🗺️📍</a>",https://www.google.com/search?q=Dunkin'-Donuts-Dunkin'-Donuts---AMK-Hub,"<a href=""https://www.google.com/search?q=Dunkin'-Donuts-Dunkin'-Donuts---AMK-Hub"">Dunkin' Donuts</a>"
SGDD11419,Starbucks,Starbucks - Ang Mo Kio Hub,Singapore,"[""Beverages"", ""Snack"", ""Coffee"", ""Bakery"", ""Tea""]",SGD,1480.0,1.369237810373306,103.84824419021604,"{""displayedHours"": ""Closed"", ""sun"": ""08:00-21:30"", ""mon"": ""08:00-21:30"", ""tue"": ""08:00-21:30"", ""wed"": ""08:00-21:30"", ""thu"": ""08:00-21:30"", ""fri"": ""08:00-22:30"", ""sat"": ""08:00-22:30""}",https://d1sag4ddilekf6.cloudfront.net/compressed/merchants/SGDD11419/hero/39a7e07bf843470e8a8dc5f9f3d1a537_1618365267106604717.jpeg,5000,4.4,3155.0,ONLY_DELIVERY,"Use 'TEATIME' for FREE delivery between 3PM to 5PM, Mon to Sun",FOOD,GRAB,24.0,1,1900-01-01 08:00:00,1900-01-01 21:30:00,1900-01-01 08:00:00,1900-01-01 21:30:00,1900-01-01 08:00:00,1900-01-01 21:30:00,1900-01-01 08:00:00,1900-01-01 21:30:00,1900-01-01 08:00:00,1900-01-01 22:30:00,1900-01-01 08:00:00,1900-01-01 22:30:00,1900-01-01 08:00:00,1900-01-01 21:30:00,0.17028330960335875,currently open,"<a href=""https://www.google.com/maps/dir/1.3700803,103.8495228/1.369237810373306,103.84824419021604"">Map direction 🗺️📍</a>",https://www.google.com/search?q=Starbucks-Starbucks---Ang-Mo-Kio-Hub,"<a href=""https://www.google.com/search?q=Starbucks-Starbucks---Ang-Mo-Kio-Hub"">Starbucks</a>"
4-CZLBCUW3ANACCX,FoodLoft,FoodLoft - Ang Mo Kio Ave 8,Singapore,"[""Local"", ""Breakfast"", ""Snack"", ""Coffee""]",SGD,1510.0,1.3725766,103.84794182,"{""displayedHours"": ""Closed"", ""sun"": ""09:00-21:00"", ""mon"": ""09:00-21:00"", ""tue"": ""09:00-21:00"", ""wed"": ""09:00-21:00"", ""thu"": ""09:00-21:00"", ""fri"": ""09:00-21:00"", ""sat"": ""09:00-21:00""}",https://d1sag4ddilekf6.cloudfront.net/compressed/merchants/4-CZLBCUW3ANACCX/hero/272194b92e684acfb3c9ef9ee4d9a141_1597208696628224300.jpeg,5000,3.4,13.0,ONLY_DELIVERY,,FOOD,GRAB,21.0,0,1900-01-01 09:00:00,1900-01-01 21:00:00,1900-01-01 09:00:00,1900-01-01 21:00:00,1900-01-01 09:00:00,1900-01-01 21:00:00,1900-01-01 09:00:00,1900-01-01 21:00:00,1900-01-01 09:00:00,1900-01-01 21:00:00,1900-01-01 09:00:00,1900-01-01 21:00:00,1900-01-01 09:00:00,1900-01-01 21:00:00,0.3286381356240461,currently open,"<a href=""https://www.google.com/maps/dir/1.3700803,103.8495228/1.3725766,103.84794182"">Map direction 🗺️📍</a>",https://www.google.com/search?q=FoodLoft-FoodLoft---Ang-Mo-Kio-Ave-8,"<a href=""https://www.google.com/search?q=FoodLoft-FoodLoft---Ang-Mo-Kio-Ave-8"">FoodLoft</a>"
4-C2KCL3NZGAXWDE,Brew & Co.,Brew & Co. - Ang Mo Kio Ave 6,Singapore,"[""Bakery & Cake"", ""Coffee & Tea""]",SGD,1850.0,1.3716681,103.845895,"{""displayedHours"": ""Closed"", ""sun"": ""09:00-17:30"", ""mon"": ""09:00-17:30"", ""tue"": ""09:00-17:30"", ""wed"": ""09:00-17:30"", ""thu"": ""09:00-17:30"", ""fri"": ""09:00-20:30"", ""sat"": ""09:00-20:30""}",https://d1sag4ddilekf6.cloudfront.net/compressed/merchants/4-C2KCL3NZGAXWDE/hero/920f89febc4f49d3b1175fa47f412da6_1617695391545092282.jpeg,5000,4.7,38.0,DELIVERY_TAKEAWAY,"Use 'TEATIME' for FREE delivery between 3PM to 5PM, Mon to Sun",FOOD,GRAB,31.0,0,1900-01-01 09:00:00,1900-01-01 17:30:00,1900-01-01 09:00:00,1900-01-01 17:30:00,1900-01-01 09:00:00,1900-01-01 17:30:00,1900-01-01 09:00:00,1900-01-01 17:30:00,1900-01-01 09:00:00,1900-01-01 20:30:00,1900-01-01 09:00:00,1900-01-01 20:30:00,1900-01-01 09:00:00,1900-01-01 17:30:00,0.4403705400725718,currently open,"<a href=""https://www.google.com/maps/dir/1.3700803,103.8495228/1.3716681,103.845895"">Map direction 🗺️📍</a>",https://www.google.com/search?q=Brew-&-Co.-Brew-&-Co.---Ang-Mo-Kio-Ave-6,"<a href=""https://www.google.com/search?q=Brew-&-Co.-Brew-&-Co.---Ang-Mo-Kio-Ave-6"">Brew & Co.</a>"
4-CZJYTYTGSF41GJ,Broadway Food & Drinks,Broadway Food & Drinks - Ang Mo Kio Ave 6,Singapore,"[""Beverages"", ""Local"", ""Coffee & Tea"", ""Dim Sum"", ""Same Prices In-Store""]",SGD,650.0,1.3731552333333332,103.8460916,"{""open"": true, ""displayedHours"": ""07:00-22:00"", ""sun"": ""07:00-22:00"", ""mon"": ""07:00-22:00"", ""tue"": ""07:00-22:00"", ""wed"": ""07:00-22:00"", ""thu"": ""07:00-22:00"", ""fri"": ""07:00-22:00"", ""sat"": ""07:00-22:00""}",https://d1sag4ddilekf6.cloudfront.net/compressed/merchants/4-CZJYTYTGSF41GJ/hero/59f2d311ef8c4967a014347ff6aa9117_1593851202065271216.jpeg,5000,4.0,6.0,DELIVERY_TAKEAWAY,,FOOD,GRAB,32.0,0,1900-01-01 07:00:00,1900-01-01 22:00:00,1900-01-01 07:00:00,1900-01-01 22:00:00,1900-01-01 07:00:00,1900-01-01 22:00:00,1900-01-01 07:00:00,1900-01-01 22:00:00,1900-01-01 07:00:00,1900-01-01 22:00:00,1900-01-01 07:00:00,1900-01-01 22:00:00,1900-01-01 07:00:00,1900-01-01 22:00:00,0.5124014804270839,currently open,"<a href=""https://www.google.com/maps/dir/1.3700803,103.8495228/1.3731552333333332,103.8460916"">Map direction 🗺️📍</a>",https://www.google.com/search?q=Broadway-Food-&-Drinks-Broadway-Food-&-Drinks---Ang-Mo-Kio-Ave-6,"<a href=""https://www.google.com/search?q=Broadway-Food-&-Drinks-Broadway-Food-&-Drinks---Ang-Mo-Kio-Ave-6"">Broadway Food & Drinks</a>"
4-CZLBA3MALEJFCA,Choice,Choice - Ang Mo Kio Ave 1,Singapore,"[""Local"", ""Bread"", ""Coffee""]",SGD,1420.0,1.3638447428571427,103.84846338779091,"{""displayedHours"": ""Closed"", ""sun"": ""09:00-21:00"", ""mon"": ""09:00-21:00"", ""tue"": ""09:00-21:00"", ""wed"": ""09:00-21:00"", ""thu"": ""09:00-21:00"", ""fri"": ""09:00-21:00"", ""sat"": ""09:00-21:00""}",https://d1sag4ddilekf6.cloudfront.net/compressed/merchants/4-CZLBA3MALEJFCA/hero/f9f82531bb404cde863cc24b8b04d11d_1594206927059703645.jpg,5000,4.0,1.0,ONLY_DELIVERY,,FOOD,GRAB,34.0,0,1900-01-01 09:00:00,1900-01-01 21:00:00,1900-01-01 09:00:00,1900-01-01 21:00:00,1900-01-01 09:00:00,1900-01-01 21:00:00,1900-01-01 09:00:00,1900-01-01 21:00:00,1900-01-01 09:00:00,1900-01-01 21:00:00,1900-01-01 09:00:00,1900-01-01 21:00:00,1900-01-01 09:00:00,1900-01-01 21:00:00,0.7035134251528502,currently open,"<a href=""https://www.google.com/maps/dir/1.3700803,103.8495228/1.3638447428571427,103.84846338779091"">Map direction 🗺️📍</a>",https://www.google.com/search?q=Choice-Choice---Ang-Mo-Kio-Ave-1,"<a href=""https://www.google.com/search?q=Choice-Choice---Ang-Mo-Kio-Ave-1"">Choice</a>"
4-CYMUL4NEENKJUE,Froz Bakery Cafe,Froz Bakery Cafe - Ang Mo Kio Ave 10,Singapore,"[""Bakery"", ""Western"", ""Beverages"", ""Coffee"", ""Dessert""]",SGD,330.0,1.3663714569216892,103.8551538,"{""displayedHours"": ""Closed"", ""sun"": ""10:30-22:30"", ""mon"": ""11:30-22:00"", ""tue"": ""11:30-22:00"", ""wed"": ""11:30-22:00"", ""thu"": ""11:30-22:00"", ""fri"": ""11:30-22:30"", ""sat"": ""10:30-22:30""}",https://d1sag4ddilekf6.cloudfront.net/compressed/merchants/4-CYMUL4NEENKJUE/hero/e45021912bf54fb98d202257a956c112_1561084829239592217.jpeg,2500,4.3,259.0,DELIVERY_TAKEAWAY,20% off Pineapple Balls (Small),FOOD,GRAB,26.0,0,1900-01-01 11:30:00,1900-01-01 22:00:00,1900-01-01 11:30:00,1900-01-01 22:00:00,1900-01-01 11:30:00,1900-01-01 22:00:00,1900-01-01 11:30:00,1900-01-01 22:00:00,1900-01-01 11:30:00,1900-01-01 22:30:00,1900-01-01 10:30:00,1900-01-01 22:30:00,1900-01-01 10:30:00,1900-01-01 22:30:00,0.749837584576465,currently open,"<a href=""https://www.google.com/maps/dir/1.3700803,103.8495228/1.3663714569216892,103.8551538"">Map direction 🗺️📍</a>",https://www.google.com/search?q=Froz-Bakery-Cafe-Froz-Bakery-Cafe---Ang-Mo-Kio-Ave-10,"<a href=""https://www.google.com/search?q=Froz-Bakery-Cafe-Froz-Bakery-Cafe---Ang-Mo-Kio-Ave-10"">Froz Bakery Cafe</a>"
4-C2T3JTW3MEX2AX,Am:Pm Cafe,Am:Pm Cafe - Cheng San Centre,Singapore,"[""Coffee & Tea"", ""Ice Cream""]",SGD,1530.0,1.37277358597004,103.855718217149,"{""displayedHours"": ""Closed"", ""sun"": ""12:00-22:30"", ""mon"": ""12:00-22:30"", ""tue"": ""12:00-22:30"", ""wed"": ""12:00-22:30"", ""thu"": ""12:00-22:30"", ""fri"": ""12:00-22:30"", ""sat"": ""12:00-22:30""}",https://d1sag4ddilekf6.cloudfront.net/compressed/merchants/4-C2T3JTW3MEX2AX/hero/fd8d8c1292724a1a950a1c686487145d_1621944279717646871.jpg,5000,5.0,,DELIVERY_TAKEAWAY,,FOOD,GRAB,36.0,0,1900-01-01 12:00:00,1900-01-01 22:30:00,1900-01-01 12:00:00,1900-01-01 22:30:00,1900-01-01 12:00:00,1900-01-01 22:30:00,1900-01-01 12:00:00,1900-01-01 22:30:00,1900-01-01 12:00:00,1900-01-01 22:30:00,1900-01-01 12:00:00,1900-01-01 22:30:00,1900-01-01 12:00:00,1900-01-01 22:30:00,0.7512337801748907,currently open,"<a href=""https://www.google.com/maps/dir/1.3700803,103.8495228/1.37277358597004,103.855718217149"">Map direction 🗺️📍</a>",https://www.google.com/search?q=Am:Pm-Cafe-Am:Pm-Cafe---Cheng-San-Centre,"<a href=""https://www.google.com/search?q=Am:Pm-Cafe-Am:Pm-Cafe---Cheng-San-Centre"">Am:Pm Cafe</a>"
4-CZLAFFCWPEEZVX,FoodLoft,FoodLoft - Ang Mo Kio Ave 4,Singapore,"[""Local"", ""Breakfast"", ""Snack"", ""Coffee""]",SGD,1550.0,1.371215247528218,103.8371217,"{""displayedHours"": ""Closed"", ""sun"": ""09:00-21:00"", ""mon"": ""09:00-21:00"", ""tue"": ""09:00-21:00"", ""wed"": ""09:00-21:00"", ""thu"": ""09:00-21:00"", ""fri"": ""09:00-21:00"", ""sat"": ""09:00-21:00""}",https://d1sag4ddilekf6.cloudfront.net/compressed/merchants/4-CZLAFFCWPEEZVX/hero/2c497d321eef4af7909b257521717ff2_1597208711503398400.jpeg,4938,4.0,11.0,ONLY_DELIVERY,,FOOD,GRAB,32.0,0,1900-01-01 09:00:00,1900-01-01 21:00:00,1900-01-01 09:00:00,1900-01-01 21:00:00,1900-01-01 09:00:00,1900-01-01 21:00:00,1900-01-01 09:00:00,1900-01-01 21:00:00,1900-01-01 09:00:00,1900-01-01 21:00:00,1900-01-01 09:00:00,1900-01-01 21:00:00,1900-01-01 09:00:00,1900-01-01 21:00:00,1.3847439467625715,currently open,"<a href=""https://www.google.com/maps/dir/1.3700803,103.8495228/1.371215247528218,103.8371217"">Map direction 🗺️📍</a>",https://www.google.com/search?q=FoodLoft-FoodLoft---Ang-Mo-Kio-Ave-4,"<a href=""https://www.google.com/search?q=FoodLoft-FoodLoft---Ang-Mo-Kio-Ave-4"">FoodLoft</a>"
